Genome	Genome	Bird	ST
FH100	AusGEM_00124	337	95
FH101	AusGEM_00125	337	95
FH102	AusGEM_00126	339	95
FH103	AusGEM_00127	339	95
FH104	AusGEM_00128	339	95
FH105	AusGEM_00129	339	95
FH106	AusGEM_00130	343	117
FH107	AusGEM_00131	343	95
FH108	AusGEM_00132	343	95
FH109	AusGEM_00133	343	95
FH10	#N/A	#N/A	#N/A
FH110	AusGEM_00135	264	355
FH111	AusGEM_00136	264	355
FH112	AusGEM_00137	264	355
FH113	AusGEM_00138	264	355
FH114	AusGEM_00139	266	117
FH115	AusGEM_00140	266	117
FH116	AusGEM_00141	266	117
FH117	AusGEM_00142	266	117
FH118	#N/A	267	13296
FH119	AusGEM_00144	368	155
FH11	AusGEM_00145	9	1818
FH120	AusGEM_00146	267	69
FH121	AusGEM_00147	267	69
FH122	AusGEM_00148	274	93
FH123	#N/A	#N/A	#N/A
FH124	AusGEM_00150	274	93
FH125	AusGEM_00151	274	10
FH126	AusGEM_00152	358	95
FH127	AusGEM_00153	362	95
FH128	AusGEM_00154	358	95
FH129	#N/A	#N/A	#N/A
FH12	AusGEM_00156	10	212
FH130	AusGEM_00157	359	803
FH131	AusGEM_00158	360	101
FH132	AusGEM_00159	358	95
FH133	AusGEM_00160	360	355
FH134	AusGEM_00161	360	355
FH135	AusGEM_00162	362	93
FH136	AusGEM_00163	362	95
FH137	AusGEM_00164	362	95
FH138	AusGEM_00165	362	95
FH139	AusGEM_00166	363	69
FH13	AusGEM_00167	9	1818
FH140	AusGEM_00168	363	69
FH141	AusGEM_00169	363	69
FH142	AusGEM_00170	363	69
FH143	AusGEM_00171	364	69
FH144	AusGEM_00172	364	69
FH145	AusGEM_00173	364	69
FH146	AusGEM_00174	364	69
FH147	AusGEM_00175	364	69
FH148	AusGEM_00176	364	69
FH149	AusGEM_00177	368	155
FH14	AusGEM_00178	10	1286
FH150	AusGEM_00179	368	155
FH151	AusGEM_00180	153	117
FH152	AusGEM_00181	153	117
FH153	AusGEM_00182	157	1137
FH154	AusGEM_00183	157	117
FH155	AusGEM_00184	157	117
FH156	AusGEM_00185	159	117
FH157	AusGEM_00186	145	117
FH158	AusGEM_00187	145	117
FH159	AusGEM_00188	145	117
FH15	AusGEM_00189	10	1818
FH160	AusGEM_00190	145	117
FH161	AusGEM_00191	146	117
FH162	AusGEM_00192	146	117
FH163	AusGEM_00193	146	117
FH164	AusGEM_00194	147	101
FH165	AusGEM_00195	147	101
FH166	AusGEM_00196	148	13152
FH167	AusGEM_00197	148	13152
FH168	AusGEM_00198	152	1640
FH169	AusGEM_00199	152	1640
FH16	AusGEM_00200	10	1818
FH170	AusGEM_00201	152	1640
FH171	AusGEM_00202	159	117
FH172	AusGEM_00203	160	117
FH173	AusGEM_00204	162	13151
FH174	AusGEM_00205	162	117
FH175	AusGEM_00206	124	48
