Sample name	ST (Pending novel allocation)	Source Niche	Source Type	Intestinal_or_Extraintestinal	Collection	State	Biosample (Pending allocations)	IncF RST
AUSMDU00014866	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00023212	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00015808	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
SRR5936484	131	Human	Human	Extraintestinal	Enterobase	QLD	SAMN07510244	F1:A2:B20
AUSMDU00016512	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010783	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007859	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011213	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017427	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00023228	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00019308	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00015544	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00018798	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011694	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011688	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00010642	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00019218	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00016281	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00007520	131	Human	Human	Unknown	MDU	VIC	NA	F1:A2:B20
ERR5355977	131	Human	Human	Unknown	Enterobase	NA	SAMEA8101289	F1:A2:B20
AUSMDU00022551	131	Human	Human	Intestinal	MDU	VIC	NA	F35!/F1!:A2:B20
AUSMDU00019684	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00011700	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B-
AUSMDU00021243	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00018645	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00016921	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00018821	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
SRR7724766	131	Wild Animal	Avian	Unknown	Enterobase	NSW	SAMN09866747	F1:A2:B20
ERR5355638	131	Human	Human	Unknown	Enterobase	NA	SAMEA8100950	F1:A2:B20
AUSMDU00034357	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2?:B20
AUSMDU00016899	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00022555	131	Human	Human	Extraintestinal	MDU	VIC	NA	F40!/F1!:A2:B20
AUSMDU00016634	131	Human	Human	Extraintestinal	MDU	VIC	NA	F35!/F1!:A2:B20
AUSMDU00024980	131	Human	Human	Unknown	MDU	VIC	NA	F1:A2:B20
AUSMDU00012230	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00039680	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00020292	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00008537	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00034358	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00020302	131	Human	Human	Intestinal	MDU	VIC	NA	F1:A2:B20
ERR161271	131	Human	Human	Extraintestinal	Enterobase	QLD	SAMEA1486644	F1:A2:B20
AUSMDU00021246	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017425	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00017959	131	Human	Human	Extraintestinal	MDU	VIC	NA	F10!/F1!:A2:B20
AUSMDU00016922	131	Human	Human	Extraintestinal	MDU	VIC	NA	F2!/F1!:A2:B20
AUSMDU00019972	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
AUSMDU00018285	131	Human	Human	Extraintestinal	MDU	VIC	NA	F1:A2:B20
