Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Path/Nonpath	Serological Group	Serotype	EcoR Cluster	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	O Antigen(Serotype Prediction)	H Antigen(Serotype Prediction)	ST(Achtman 7 Gene MLST)	ST Complex(Achtman 7 Gene MLST)	Lineage(Achtman 7 Gene MLST)	Subspecies(Achtman 7 Gene MLST)	Status(Assembly stats)	Coverage(Assembly stats)	N50(Assembly stats)	Length(Assembly stats)	Species(Assembly stats)	Contig Number(>=200 bp)(Assembly stats)	Low Quality Bases(Assembly stats)	Version(Assembly stats)	Assembly barcode(Assembly stats)	ST(wgMLST)	ST(cgMLST V1 + HierCC V1)	HC0 (indistinguishable)(cgMLST V1 + HierCC V1)	HC2(cgMLST V1 + HierCC V1)	HC5(cgMLST V1 + HierCC V1)	HC10(cgMLST V1 + HierCC V1)	HC20(cgMLST V1 + HierCC V1)	HC50(cgMLST V1 + HierCC V1)	HC100(cgMLST V1 + HierCC V1)	HC200(cgMLST V1 + HierCC V1)	HC400(cgMLST V1 + HierCC V1)	HC1100 (cgST Cplx)(cgMLST V1 + HierCC V1)	HC1500(cgMLST V1 + HierCC V1)	HC2000(cgMLST V1 + HierCC V1)	HC2350 (subsp.)(cgMLST V1 + HierCC V1)	Clermont Type (ClermonTyping)(Phylotypes)	Clermont Type (EzClermont)(Phylotypes)	fimH (fimTyper)(Phylotypes)	Pathovar(Phylotypes)	Stx1(Phylotypes)	Stx2(Phylotypes)	ipaH(Phylotypes)	pInv(Phylotypes)	ST(Phylotypes)	LT(Phylotypes)	eae(Phylotypes)	rST(rMLST)	Species (rMLST)(rMLST)
ESC_MA7268AA	TMP020038	ERR3330256;ILLUMINA;Paired;350;ERX3354971;SRA	Environment	Environment	pens	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611760	ERS3415949	2019-05-30	2019-05-20	ESC_MA7268AA	-	H16	7483	ST205 Cplx	ND	ND	Assembled	70	352562	4876371	Escherichia coli / Shigella;92.76%	93	15456	4	ESC_ZA6257AA_AS	108832	97809	97809	97809	97809	97809	97809	97809	97809	47880	2742	1057	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	112877	Escherichia/Shigella sp.
ESC_MA7269AA	TMP020029	ERR3330255;ILLUMINA;Paired;350;ERX3354970;SRA	Environment	Soil/Dust	surface	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611759	ERS3415948	2019-05-30	2019-05-20	ESC_MA7269AA	O136	H34	155	ST155 Cplx	B1	ND	Assembled	69	185876	4670749	Escherichia coli / Shigella;91.81%	93	25172	4	ESC_ZA6256AA_AS	108830	97818	97818	97818	97818	97818	97818	97020	32096	1157	106	106	5	2	1	B1	B1	fimH32	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7270AA	TMP020025	ERR3330254;ILLUMINA;Paired;350;ERX3354969;SRA	Human	Human	human	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611758	ERS3415947	2019-05-30	2019-05-20	ESC_MA7270AA	O64	H25	58	ST155 Cplx	AxB1	ND	Assembled	82	171853	4728933	Escherichia coli / Shigella;98.73%	119	32249	4	ESC_ZA6255AA_AS	108760	97743	97743	97743	97743	97743	97743	97743	97743	1060	106	106	5	2	1	B1	B1	fimH54	-	-	-	-	-	-	-	-	1601	Escherichia coli
ESC_MA7271AA	TMP020020	ERR3330253;ILLUMINA;Paired;350;ERX3354968;SRA	Human	Human	human	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611757	ERS3415946	2019-05-30	2019-05-20	ESC_MA7271AA	OX21	H7	1304	ND	B1	ND	Assembled	66	644584	4869890	Escherichia coli / Shigella;97.22%	55	14322	4	ESC_ZA6254AA_AS	108757	97744	97744	97744	97744	97744	97744	97744	97744	17671	3307	152	5	2	1	B1	B1	fimH256	-	-	-	-	-	-	-	-	117734	Escherichia/Shigella sp.
ESC_MA7272AA	TMP020012	ERR3330252;ILLUMINA;Paired;350;ERX3354967;SRA	Poultry	Avian	chickens	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611756	ERS3415945	2019-05-30	2019-05-20	ESC_MA7272AA	O27	H27	155	ST155 Cplx	B1	ND	Assembled	67	154708	4804023	Escherichia coli / Shigella;94.64%	74	29051	4	ESC_ZA6253AA_AS	108838	97817	97817	97817	97817	97817	97817	97817	97817	97817	106	106	5	2	1	B1	B1	fimH121	-	-	-	-	-	-	-	-	146438	Escherichia coli
ESC_MA7273AA	TMP020000	ERR3330251;ILLUMINA;Paired;350;ERX3354966;SRA	Poultry	Avian	chickens	2015	10	26		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611755	ERS3415944	2019-05-30	2019-05-20	ESC_MA7273AA	O120	H1	104	ST73 Cplx	B2	ND	Assembled	59	716492	4764786	Escherichia coli / Shigella;100.0%	27	8597	4	ESC_ZA6252AA_AS	108828	97811	97811	97811	97811	97811	97811	97811	97811	38	38	9	9	1	1	B2	B2	fimH2	-	-	-	-	-	-	-	-	2147	Escherichia coli
ESC_MA7274AA	TMP019994	ERR3330250;ILLUMINA;Paired;350;ERX3354965;SRA	Human	Human	human	2015	10	27		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611754	ERS3415943	2019-05-30	2019-05-20	ESC_MA7274AA	O134	H21	345	ST23 Cplx	ND	ND	Assembled	64	202822	4806286	Escherichia coli / Shigella;100.0%	81	13853	4	ESC_ZA6251AA_AS	108759	97745	97745	97745	97745	97745	97745	97745	97745	168	168	168	5	2	1	B1	B1	fimH1367	-	-	-	-	-	-	-	-	15078	Escherichia coli
ESC_MA7275AA	TMP019986	ERR3330249;ILLUMINA;Paired;350;ERX3354964;SRA	ND	Avian	avian	2015	10	27		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5611753	ERS3415942	2019-05-30	2019-05-20	ESC_MA7275AA	O22	H7	211	ND	B1	ND	Assembled	102	176171	4729689	Escherichia coli / Shigella;100.0%	75	12219	4	ESC_ZA6250AA_AS	108829	97746	97746	97746	97746	97746	97746	97232	97232	9113	9113	96	5	2	1	B1	B1	fimH38	-	-	-	-	-	-	-	-	2216	Escherichia coli
ESC_MA7291AA	TWAG2004	ERR3330613;ILLUMINA;Paired;350;ERX3355328;SRA	Human	Human	human	2016	9	20		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612118	ERS3416306	2019-05-30	2019-05-20	ESC_MA7291AA	O4	H5	12	ST12 Cplx	B2	ND	Assembled	67	370575	4986892	Escherichia coli / Shigella;100.0%	82	8731	4	ESC_ZA6234AA_AS	108774	97755	97755	97755	97755	97755	97755	97755	97755	97755	23	23	23	1	1	B2	B2	fimH5	-	-	-	-	-	-	-	-	146527	Escherichia coli
ESC_MA7292AA	TWAG1997	ERR3330612;ILLUMINA;Paired;350;ERX3355327;SRA	Human	Human	human	2016	9	19		Africa	Kenya							University of Edinburgh	Escherichia coli								PRJEB32607	ERP115308		SAMEA5612117	ERS3416305	2019-05-30	2019-05-20	ESC_MA7292AA	-	H7	278	ST278 Cplx	AxB1	ND	Assembled	89	149155	4980121	Escherichia coli / Shigella;99.4%	212	105313	4	ESC_ZA6233AA_AS	108770	97767	97767	97767	97767	97767	97767	97767	97767	97767	97767	84	5	2	1	B1	B1	fimH31	-	-	-	-	-	-	-	-	146528	Escherichia coli
