sample_name	Source_id	Source_Level1	Source_Level2	Source_Level3	HHID	Date	Sublocation	Wealth_group	Livestock_yn	ID	EntBase_ST	Phylogroup	Accession
ALQ017070	KAN009AVN1	avian	w_avian	wildlife	KAN009	22/9/2015	KAREN	1	no	ALQ017070	744	A	ERS3414665 (SAMEA5610475) 
ALQ017075	KAN009AVN8	avian	w_avian	wildlife	KAN009	22/9/2015	KAREN	1	no	ALQ017075	187	B1	ERS3414666 (SAMEA5610476) 
ALQ017119	HAR012AVN5	avian	w_avian	wildlife	HAR012	7/10/2015	HARAMBEE	3	no	ALQ017119	746	A	ERS3414669 (SAMEA5610479) 
ALQ017135	HAR012AVN7	avian	w_avian	wildlife	HAR012	7/10/2015	HARAMBEE	3	no	ALQ017135	9421	B1	ERS3414670 (SAMEA5610480) 
ALQ017149	KIL041LAG4	rabbit	monogastric	livestock	KIL041	8/3/2016	KILIMANI	2	yes	ALQ017149	224	B1	ERS3414671 (SAMEA5610481) 
ALQ017153	KIL042GAL5	chickens	poultry	livestock	KIL042	9/3/2016	KILIMANI	2	yes	ALQ017153	6635	A	ERS3414672 (SAMEA5610482) 
ALQ017189	KIL042CAP1	goat	ruminant	livestock	KIL042	9/3/2016	KILIMANI	2	yes	ALQ017189	297	B1	ERS3414673 (SAMEA5610483) 
ALQ017237	HAR011LAG1	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017237	117	G	ERS3414676 (SAMEA5610486) 
ALQ017241	HAR011GAL8	chickens	poultry	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017241	1196	B1	ERS3414677 (SAMEA5610487) 
ALQ017244	HAR011LAG8	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017244	297	B1	ERS3414678 (SAMEA5610488) 
ALQ017249	HAR011AVN1	avian	w_avian	wildlife	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017249	9420	A	ERS3414679 (SAMEA5610489) 
ALQ017277	HAR011GAL7	chickens	poultry	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017277	2522	B1	ERS3414681 (SAMEA5610491) 
ALQ017316	HAR011LAG9	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017316	847	B1	ERS3414682 (SAMEA5610492) 
ALQ017321	HAR011LAG6	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017321	4568	F	ERS3414683 (SAMEA5610493) 
ALQ017332	HAR011LAG5	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017332	4568	F	ERS3414685 (SAMEA5610495) 
ALQ017349	HAR011GAL5	chickens	poultry	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017349	155	B1	ERS3414688 (SAMEA5610498) 
ALQ017358	HAR011LAG3	rabbit	monogastric	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017358	1302	A	ERS3414689 (SAMEA5610499) 
ALQ017368	HAR011GAL6	chickens	poultry	livestock	HAR011	5/10/2015	HARAMBEE	3	yes	ALQ017368	1196	B1	ERS3414690 (SAMEA5610500) 
