ID	Tx:40
AusGEM_00001.fa	329
AusGEM_00002.fa	234
AusGEM_00003.fa	UC
AusGEM_00004.fa	UC
AusGEM_00005.fa	UC
AusGEM_00006.fa	866
AusGEM_00007.fa	UC
AusGEM_00008.fa	UC
AusGEM_00009.fa	866
AusGEM_00010.fa	UC
AusGEM_00011.fa	UC
AusGEM_00012.fa	UC
AusGEM_00014.fa	269
AusGEM_00015.fa	269
AusGEM_00017.fa	UC
AusGEM_00018.fa	UC
AusGEM_00019.fa	956
AusGEM_00020.fa	662
AusGEM_00021.fa	207
AusGEM_00022.fa	UC
AusGEM_00024.fa	UC
AusGEM_00025.fa	536
AusGEM_00026.fa	536
AusGEM_00027.fa	269
AusGEM_00029.fa	UC
AusGEM_00030.fa	329
AusGEM_00031.fa	229
AusGEM_00032.fa	443
AusGEM_00033.fa	207
AusGEM_00035.fa	UC
AusGEM_00036.fa	662
AusGEM_00037.fa	UC
AusGEM_00038.fa	269
AusGEM_00040.fa	662
AusGEM_00041.fa	UC
AusGEM_00043.fa	398
AusGEM_00044.fa	UC
AusGEM_00045.fa	269
AusGEM_00046.fa	269
AusGEM_00048.fa	866
AusGEM_00049.fa	269
AusGEM_00050.fa	447
AusGEM_00052.fa	269
AusGEM_00053.fa	UC
AusGEM_00054.fa	171
AusGEM_00055.fa	866
AusGEM_00056.fa	171
AusGEM_00057.fa	202
AusGEM_00058.fa	UC
AusGEM_00060.fa	956
AusGEM_00061.fa	UC
AusGEM_00062.fa	UC
AusGEM_00063.fa	171
AusGEM_00064.fa	866
AusGEM_00065.fa	956
AusGEM_00066.fa	234
AusGEM_00067.fa	662
AusGEM_00068.fa	97
AusGEM_00069.fa	UC
AusGEM_00071.fa	UC
AusGEM_00072.fa	173
AusGEM_00073.fa	543
AusGEM_00074.fa	662
AusGEM_00076.fa	398
AusGEM_00077.fa	398
AusGEM_00078.fa	68
AusGEM_00079.fa	214
AusGEM_00080.fa	UC
AusGEM_00083.fa	304
AusGEM_00084.fa	398
AusGEM_00085.fa	258
AusGEM_00086.fa	UC
AusGEM_00087.fa	UC
AusGEM_00088.fa	UC
AusGEM_00089.fa	304
AusGEM_00090.fa	866
AusGEM_00091.fa	866
AusGEM_00093.fa	UC
AusGEM_00094.fa	956
AusGEM_00095.fa	UC
